Customer_ID,First_Name,Last_Name,age,sex,Address,State,Zip_Code,Email,Phone_Number
CUS-1564,Larry,Gilbert,60,male,"2237 Northwest 18th Street, Oklahoma City OK 73107",OK,73107,Larry9175@gmail.com,(281) 5817730
CUS-8501,Ellen,Turner,49,female,"1163 Rosedale Drive, Montgomery AL 36107",AL,36107,Ellen301@gmail.com,(806) 4601002
CUS-3295,Brylee,Lambert,32,female,"2032 4th Street Northwest, Washington AR 20001",AR,20001,Brylee6019@gmail.com,(571) 6922060
CUS-8358,Nathalie,Wiggins,61,female,"4408 Northwest 55th Street, Oklahoma City OK 73112",OK,73112,Nathalie1481@gmail.com,(202) 7842224
CUS-8034,Mara,Ellis,19,female,"8376 Albacore Drive, Pasadena MD 21122",MD,21122,Mara1406@gmail.com,(540) 2439330
CUS-2937,Conner,Petersen,42,female,"150 Meadowview Street, Marshfield MA 02050",MA,2050,Conner6770@gmail.com,(518) 4946022
CUS-6495,Lilian,Owen,18,male,"236 Middle Turnpike East, Manchester CT 06040",CT,6040,Lilian7423@gmail.com,(504) 4559520
CUS-7917,Mya,Woods,21,male,"12064 West 61st Avenue, Arvada CO 80004",CO,80004,Mya8171@gmail.com,(386) 9021493
CUS-2338,Donavan,Gillespie,63,male,"736 Sicard Street Southeast, Washington AR 20003",AR,20003,Donavan6932@gmail.com,(915) 7235669
CUS-9329,Dereon,Bridges,40,female,"3 Carson Street, Chico CA 95928",CA,95928,Dereon9057@gmail.com,(775) 5392098
CUS-8768,Abel,Jones,51,female,"5110 East Shoshone Avenue, Orange CA 92867",CA,92867,Abel4461@gmail.com,(704) 7860605
CUS-4918,Izayah,Tucker,59,female,"3820 North Peniel Avenue, Bethany OK 73008",OK,73008,Izayah725@gmail.com,(310) 7416288
CUS-1684,Cassius,Krueger,19,male,"111 20th Street, Mexico Beach FL 32456",FL,32456,Cassius1822@gmail.com,(901) 1349615
CUS-1803,Kasey,Vargas,21,female,"600 Marshall Street, Louisville KY 40202",KY,40202,Kasey3370@gmail.com,(915) 5989555
CUS-5902,Shania,Houston,27,male,"1643 North Jordan Lane, Fayetteville AR 72703",AR,72703,Shania1438@gmail.com,(678) 8865854
CUS-3029,Brielle,Hill,56,male,"16502 South Main Street, Gardena CA 90248",CA,90248,Brielle4855@gmail.com,(616) 3717160
CUS-7515,Junior,Vega,56,female,"33 South Hill Avenue, Fayetteville AR 72701",AR,72701,Junior1941@gmail.com,(956) 1381747
CUS-3808,Daniel,Pacheco,63,male,"2315 Kezey Court, Crofton MD 21114",MD,21114,Daniel9271@gmail.com,(760) 5505438
CUS-5107,Amiya,Santana,19,female,"4375 West Missouri Avenue, Glendale AZ 85301",AZ,85301,Amiya7068@gmail.com,(404) 4454045
